food_id,food_type,food_name_th,food_name_en,food_group,food_subgroup,energy,water,protein,fat,carbohydrate,fibre,ash,calcium,phosphorus,magnesium,sodium,potassium,iron,copper,zinc,iodine,selenium,betacarotene,retinol,vitamin_A,thiamin,riboflavin,niacin,vitamin_C,vitamin_E,folate,cobalamin,sugar,cholesterol,sfa,sfa_4_0,sfa_6_0,sfa_8_0,sfa_10_0,sfa_12_0,sfa_14_0,sfa_16_0,sfa_18_0,mufa,mufa_16_1,mufa_18_1,mufa_20_1,mufa_22_1,pufa,pufa_18_2,pufa_18_3,pufa_18_4,pufa_20_4,pufa_20_5,pufa_22_5,pufa_22_6,asparticacid,threonine,serine,glutamic_acid,proline,glycine,alanine,cystine,valine,methionine,isoleucine,leucine,tryrosine,phenylalanine,histidine,lysine,arginine,total_amino_acid,catechin,epicatechin,gallic,energy_fat,fat_all,fat_saturated
12064,foundation,โดนัทโรยน้ำตาลไอซิ่ง  (),,ขนมหวานและขนมอบ,ขนมหวาน,420,22.2,7.05,22.69,46.76,0,1.27,0,0,0,0,0,0.00,0.00,0.00,0.00,,0,0.00,0,0.00,0.00,0.00,0,0.00,,,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12060,foundation,เอแคลร์,Eclair,ขนมหวานและขนมอบ,,236,56.2,4.67,12.86,25.48,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12063,foundation,แยมโรลวานิลลา         (),,ขนมหวานและขนมอบ,ขนมหวาน,446,22.7,5.94,28.25,41.82,0,1.27,0,0,0,0,0,0.00,0.00,0.00,0.00,,0,0.00,0,0.00,0.00,0.00,0,0.00,,,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13001,foundation,"จิ้งโกร่ง, ดิบ","Cricket, giant, raw",แมลง,ไม่ระบุ,188,67,17.50,12.00,2.50,0,1.00,,143,,,,tr,,,,,124,,10,0.11,0.80,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12066,foundation,"ข้าวต้มมัด, ไส้กล้วยและถั่วดำ  ()",,ขนมหวานและขนมอบ,ขนมหวาน,203,50.8,3.20,2.75,41.19,0,2.11,0,0,0,0,0,0.00,0.00,0.00,0.00,,0,0.00,0,0.00,0.00,0.00,0,0.00,,,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13003,foundation,"ดักแด้ไหม, ดิบ","Silk worm, pupae, raw",แมลง,ไม่ระบุ,152,69.9,14.70,8.30,4.70,0,2.40,7,178,,,,0.10,,,,,305,,25,,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13002,foundation,"จิ้งหรีด, ดิบ","Cricket, raw",แมลง,ไม่ระบุ,0,73.3,18.65,6.05,0.97,,1.08,,,,,,,,,14.57,,,3.00,3,0.23,1.94,0.93,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13007,foundation,"ตั๊กแตน, ปาทังกา, ทอด","Bombay locust, fried",แมลง,ไม่ระบุ,0,18.8,39.80,31.40,0.00,-7.1,1.40,,,,,,,,,,,,,,0.08,7.60,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13004,foundation,"ต่อ, ตัวแก่, ดิบ","Hornet, mature, raw",แมลง,ไม่ระบุ,0,76.2,16.20,3.90,0.00,0,0.90,114,120,,,,tr,,,,,302,,25,0.02,,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13005,foundation,"ต่อ, ตัวอ่อน, ดิบ","Hornet, pupae, raw",แมลง,ไม่ระบุ,0,72.8,14.80,6.80,0.00,0,0.80,46,120,,,,tr,,,,,286,0.00,23,0.02,0.89,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13006,foundation,"ตั๊กแตน, ปาทังกา, ดิบ","Bombay locust, raw",แมลง,ไม่ระบุ,0,65.6,27.57,4.66,0.00,,0.96,,,,,,,,,38.16,,,2.00,2,0.17,3.53,0.89,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13008,foundation,"แมงกระชอน, คั่วพริก","Mole cricket, fried with chilli",แมลง,ไม่ระบุ,0,52.7,25.30,12.80,0.00,,4.60,91,271,,,,18.00,,,,,81,0.00,6,0.23,2.18,1.60,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13009,foundation,"แมงกินูน, ดิบ","Scarab beetle, raw",แมลง,ไม่ระบุ,0,76.2,18.13,1.83,0.00,,1.61,,,,,,,,,56.46,,,0.00,0,0.31,1.32,3.27,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14001,foundation,"กุ้ง, ชุบแป้งทอด","Shrimp, crispy-fried",อื่น ๆ,อาหารทอด,221,52.1,8.68,10.21,23.60,,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13010,foundation,"แมงตับเต่า, คั่วพริก","True water beetle, fried with chilli",แมลง,ไม่ระบุ,0,51.9,27.90,9.40,0.00,,4.40,55,267,,,,15.60,,,,,167,0.00,13,0.10,2.09,4.80,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13011,foundation,"แมงป่อง, ดิบ","Scorpion, raw",แมลง,ไม่ระบุ,0,69,24.51,2.34,0.00,,1.35,,,,,,,,,36.02,,,0.00,0,0.12,0.87,1.16,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14002,foundation,"กุ้งฝอย, ชุบแป้งทอด","Shrimp, Lanchester's freshwater,  crispy-fried",อื่น ๆ,อาหารทอด,616,6,16.42,50.86,23.30,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13012,foundation,"แมงมัน, คั่ว","Subterranean ants, roast",แมลง,ไม่ระบุ,0,42.2,24.10,22.00,0.00,0,2.80,40,230,,,,10.40,,,,,92,160.00,168,0.22,1.13,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13013,foundation,"หนอนไม้ไผ่, ดิบ","Bamboo caterpillar, raw",แมลง,ไม่ระบุ,0,67.5,9.25,20.42,0.00,,0.42,,,,,,,,,5.98,,,10.00,10,0.55,0.53,1.02,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14003,foundation,"กุ้ง, แห้ง, ทอด","Shrimp, dried, fried",อื่น ๆ,อาหารทอด,389,16.7,34.24,27.76,0.59,,20.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14006,foundation,"ไก่, ปีก, ทอด","Chicken, wing, fried",อื่น ๆ,อาหารทอด,267,50,28.43,15.29,3.99,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14005,foundation,"ไก่, น่อง, ทอด","Chicken, drumstick, fried",อื่น ๆ,อาหารทอด,248,53.8,27.20,14.23,2.72,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14004,foundation,"ไก่, โครง, ทอด","Chicken, skeleton, fried",อื่น ๆ,อาหารทอด,285,45.7,25.77,18.18,4.59,,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14007,foundation,"ไก่, อก, ทอด","Chicken, breast, fried",อื่น ๆ,อาหารทอด,212,56,29.29,9.38,2.84,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14010,foundation,ไข่เจียว,"Egg, hen, omelet",อื่น ๆ,อาหารทอด,340,52.2,11.87,30.99,3.50,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14008,foundation,"ไก่, เนื้อ, ชุบแป้งทอด","Chicken, meat, crispy-fried",อื่น ๆ,อาหารทอด,353,38.6,19.86,23.67,15.20,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14009,foundation,"ไก่ยอ, ชุบแป้งทอด","Chicken, sausage, crispy-fried",อื่น ๆ,อาหารทอด,364,40,9.86,26.95,20.56,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14011,foundation,ไข่ดาว,"Egg, hen, fried",อื่น ๆ,อาหารทอด,265,61.3,12.75,22.76,2.46,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
